CitingField,CitedField,NumCitingPapers,NumCitedPapers,CitationRate
17744445,17744445,7511486,7511486,0.29835386132737707
95457728,17744445,589814,589814,0.09378918225184421
205649164,192562407,121678,121678,0.005055010913859877
144133560,192562407,91227,91227,0.0029632994837589088
144024400,86803240,205067,205067,0.007783408636297784
144133560,33923547,485321,485321,0.015764537568454046
39432304,144133560,396626,396626,0.010070741687910705
121332964,71924100,799984,799984,0.010136503547676142
162324750,185592680,25993,25993,0.0008840374360077872
121332964,127413603,2937168,2937168,0.037216511645383955
71924100,17744445,790343,790343,0.0025488837896069766
144133560,41008148,2529891,2529891,0.0821776962332019
138885662,144133560,61719,61719,0.009201318022203385
86803240,205649164,3953336,3953336,0.013657127722120797
185592680,17744445,50102,50102,0.0002300137633639778
205649164,33923547,736029,736029,0.030577710250968716
15744967,127413603,856377,856377,0.008169196190175296
144133560,205649164,734869,734869,0.023870530964850596
15744967,127313418,30285,30285,0.0002888962531915953
121332964,17744445,30026,30026,0.00038045592852172525
33923547,17744445,64923,64923,0.0010474787494823955
17744445,39432304,128987,128987,0.005123323069634209
39432304,142362112,30173,30173,0.0007661234738754638
192562407,71924100,3057503,3057503,0.017241689171395794
41008148,144024400,1073242,1073242,0.006889530313096934
185592680,39432304,3189118,3189118,0.014640953115480462
86803240,162324750,127650,127650,0.00044097753232427494
41008148,185592680,1859885,1859885,0.0119392775221006
142362112,162324750,83533,83533,0.012864144391100297
127413603,17744445,494889,494889,0.005958411506363734
185592680,142362112,78062,78062,0.0003583756016869353
192562407,41008148,3763693,3763693,0.021223993841562268
185592680,144133560,181664,181664,0.000834003039953568
17744445,138885662,355434,355434,0.014117726685110635
127413603,142362112,247863,247863,0.002984244449163013
39432304,41008148,1203622,1203622,0.030561199346201353
39432304,162324750,364124,364124,0.009245482510901447
127413603,138885662,62196,62196,0.0007488332980724947
39432304,144024400,50529,50529,0.00128298323041969
185592680,205649164,175903,175903,0.0008075548085308727
205649164,144024400,951489,951489,0.03952881605070449
71924100,41008148,2623570,2623570,0.008461104917610677
121332964,33923547,4843142,4843142,0.06136688491882253
192562407,17744445,19846,19846,0.00011191438350036646
162324750,192562407,11185,11185,0.00038040852236167816
162324750,17744445,1914746,1914746,0.06512165369315456
121332964,15744967,345139,345139,0.00437321583674348
144024400,33923547,205793,205793,0.007810964287231148
205649164,144133560,789598,789598,0.03280318962805052
144024400,121332964,45408,45408,0.001723480712923141
17744445,205649164,777310,777310,0.03087450871217539
205649164,41008148,1542835,1542835,0.06409579187104492
15744967,41008148,4569519,4569519,0.04358979422115917
142362112,95457728,652327,652327,0.10045884522539934
185592680,127313418,930194,930194,0.004270436760979441
121332964,144133560,34589,34589,0.0004382731669765521
144133560,144133560,9915696,9915696,0.32208860137799417
121332964,142362112,45532,45532,0.0005769306380287481
144024400,142362112,785575,785575,0.029816846393908487
15744967,39432304,42057,42057,0.0004011923302122808
142362112,33923547,86153,86153,0.013267626347987787
162324750,41008148,865108,865108,0.029422839156304573
127313418,162324750,11078,11078,0.00030109246718722666
144133560,17744445,1455630,1455630,0.04728279596549246
71924100,86803240,41516910,41516910,0.1338934853520203
95457728,71924100,163213,163213,0.025953290025110036
33923547,192562407,1290284,1290284,0.020817662011877815
86803240,95457728,177478,177478,0.0006131124988785559
95457728,127313418,79832,79832,0.012694473168709504
192562407,39432304,1812969,1812969,0.010223587017045042
39432304,15744967,70089,70089,0.0017796317290444232
127313418,144133560,22655,22655,0.0006157474132629194
86803240,144133560,289191,289191,0.0009990343403869127
15744967,205649164,394357,394357,0.0037618708839319117
205649164,162324750,1060349,1060349,0.04405131385706871
144024400,17744445,4023727,4023727,0.15272233700158763
15744967,144133560,1375011,1375011,0.013116576721057574
33923547,144133560,111465,111465,0.0017983953115391345
162324750,33923547,1619736,1619736,0.055088187606259734
17744445,33923547,191639,191639,0.007611840803659517
127313418,17744445,16966,16966,0.0004611242822078433
185592680,162324750,29277,29277,0.000134408066544393
162324750,95457728,167256,167256,0.005688476335818046
127413603,41008148,14555076,14555076,0.17524158410148263
162324750,142362112,47737,47737,0.0016235638472936458
95457728,41008148,144517,144517,0.02298034846831335
121332964,138885662,89843,89843,0.0011383901280948964
144024400,144133560,976988,976988,0.03708201142436033
95457728,95457728,1966255,1966255,0.3126637355990193
33923547,127413603,2130879,2130879,0.034379965038866006
144024400,162324750,1337138,1337138,0.050751663881180034
95457728,33923547,57422,57422,0.009130950474667266
127313418,95457728,87176,87176,0.0023693840873364935
144024400,95457728,1118734,1118734,0.042462043514168366
121332964,41008148,2484518,2484518,0.03148103652231199
142362112,144024400,603796,603796,0.09298503497741964
127313418,138885662,16056,16056,0.00043639110427496947
17744445,144024400,4886218,4886218,0.19407904209464463
192562407,205649164,95283,95283,0.0005373142297221313
41008148,15744967,5596172,5596172,0.035923861190024525
15744967,95457728,389005,389005,0.003710816806101916
205649164,121332964,211485,211485,0.00878596774369776
162324750,144024400,1177482,1177482,0.04004686524161587
162324750,138885662,70656,70656,0.0024030527095204946
185592680,15744967,937014,937014,0.004301746765892265
121332964,144024400,38724,38724,0.000490667267570615
39432304,185592680,5046599,5046599,0.12813833417745804
185592680,185592680,129999273,129999273,0.596814937872962
121332964,205649164,141423,141423,0.001791954265614066
144133560,121332964,25660,25660,0.0008335061413096298
144133560,86803240,506628,506628,0.016456646506602304
142362112,86803240,288394,288394,0.0444128914025233
138885662,33923547,237080,237080,0.03534484480798423
185592680,41008148,1564777,1564777,0.0071837500817411495
15744967,142362112,414356,414356,0.003952646388887458
15744967,192562407,82877,82877,0.0007905846054403118
162324750,205649164,578620,578620,0.019679211373170694
142362112,17744445,284542,284542,0.04381968052545055
192562407,127313418,1925576,1925576,0.010858593717782004
185592680,144024400,17334,17334,7.957883066846015e-05
127313418,185592680,1415118,1415118,0.03846193987913467
15744967,185592680,1370841,1370841,0.013076798039340257
138885662,95457728,334381,334381,0.04985087123223626
41008148,162324750,1239656,1239656,0.007957802238276636
39432304,205649164,2104767,2104767,0.05344219685607789
71924100,162324750,463111,463111,0.0014935491561115573
127413603,192562407,10994503,10994503,0.1323726596912653
138885662,39432304,16872,16872,0.002515345965919984
121332964,185592680,3642895,3642895,0.04615869578805536
71924100,127313418,175317,175317,0.0005654034505809836
205649164,185592680,292863,292863,0.01216674880640498
95457728,39432304,28686,28686,0.004561499866189007
95457728,144133560,31940,31940,0.005078934174373453
71924100,127413603,1365602,1365602,0.004404114164172855
39432304,121332964,716959,716959,0.018204325711937117
192562407,142362112,114018,114018,0.0006429635280633268
15744967,144024400,4971641,4971641,0.04742573739850474
144024400,127413603,475391,475391,0.018043675554907615
142362112,127313418,73935,73935,0.011386045222319329
127313418,71924100,195225,195225,0.005306082046093729
15744967,138885662,669959,669959,0.006390907871619217
71924100,144133560,695020,695020,0.002241463784018636
138885662,127313418,16356,16356,0.0024384185999636833
71924100,95457728,169639,169639,0.0005470917021915015
33923547,127313418,448214,448214,0.007231561083445043
41008148,17744445,458247,458247,0.002941653976815789
142362112,121332964,57962,57962,0.008926191292027767
192562407,95457728,15241,15241,8.594614123395572e-05
142362112,138885662,371623,371623,0.0572302195665649
95457728,205649164,503126,503126,0.08000450330043263
15744967,15744967,65928454,65928454,0.6289081505469521
33923547,121332964,4269431,4269431,0.06888372756775525
142362112,41008148,322646,322646,0.049687724985466176
138885662,127413603,71027,71027,0.010588992290267824
142362112,185592680,165642,165642,0.025508991718609837
144024400,41008148,978911,978911,0.03715499973943589
121332964,192562407,6973944,6973944,0.08836602744216727
144024400,71924100,955095,955095,0.036251052931406964
205649164,142362112,274451,274451,0.011401837639669924
15744967,121332964,445663,445663,0.00425129175783807
17744445,71924100,1276822,1276822,0.050714968240338096
39432304,127413603,2409536,2409536,0.06118059492751763
162324750,127413603,561971,561971,0.019112968951284275
95457728,185592680,36102,36102,0.005740753962530696
162324750,127313418,12498,12498,0.00042506443562595025
127313418,33923547,803852,803852,0.021848147854611533
138885662,17744445,361409,361409,0.05388031473430391
192562407,144133560,86546,86546,0.00048804505867291727
121332964,121332964,54164211,54164211,0.6863083723656712
15744967,162324750,1042266,1042266,0.009942438244312077
127313418,192562407,1934698,1934698,0.05258376909931333
86803240,121332964,583448,583448,0.0020155695987429186
127313418,86803240,905456,905456,0.02460967511910792
127413603,86803240,747499,747499,0.00899980933622567
41008148,41008148,87870337,87870337,0.5640716170104628
121332964,127313418,965162,965162,0.012229454635445459
144024400,185592680,24847,24847,0.0009430788687896689
127313418,142362112,85515,85515,0.002324239242779896
185592680,121332964,4477393,4477393,0.020555307452587334
86803240,192562407,1111567,1111567,0.0038400005693152942
86803240,127313418,974398,974398,0.0033661388604912562
138885662,41008148,337767,337767,0.05035566980031385
138885662,144024400,681654,681654,0.10162373394103964
192562407,86803240,2145472,2145472,0.012098618169772157
144133560,71924100,1158430,1158430,0.037628936838554734
205649164,15744967,659450,659450,0.027396299636293298
33923547,71924100,872996,872996,0.014085066284415899
41008148,192562407,4140574,4140574,0.02657984880075605
33923547,142362112,52862,52862,0.0008528845194328419
17744445,15744967,3060335,3060335,0.12155554363082331
162324750,71924100,387135,387135,0.013166692293651163
41008148,95457728,179554,179554,0.001152622359018569
144133560,185592680,282774,282774,0.009185263663393969
33923547,15744967,939157,939157,0.015152519136941272
95457728,162324750,109198,109198,0.017364103130032324
17744445,127413603,513233,513233,0.02038545333248757
33923547,185592680,938859,938859,0.015147711154140944
144133560,95457728,75354,75354,0.0024477015499706095
127313418,127313418,23049185,23049185,0.6264610921018973
205649164,205649164,5763180,5763180,0.2394265010810415
95457728,138885662,308447,308447,0.04904765213785124
185592680,71924100,12689328,12689328,0.0582555604135543
71924100,185592680,15244926,15244926,0.04916541900814953
33923547,33923547,38406052,38406052,0.6196497900823416
127313418,41008148,1046250,1046250,0.028436359793702466
71924100,71924100,223459418,223459418,0.7206644307284426
127413603,39432304,1749633,1749633,0.02106539728931882
144133560,15744967,2231454,2231454,0.07248365600350501
71924100,121332964,580028,580028,0.0018706105661948742
205649164,127413603,787422,787422,0.032712789524921286
41008148,71924100,3150110,3150110,0.020221700543390758
127413603,127413603,36851572,36851572,0.4436890507414625
162324750,162324750,17334946,17334946,0.589571854544433
39432304,86803240,4367746,4367746,0.11090155896084783
162324750,86803240,140485,140485,0.004777978655697841
162324750,121332964,37106,37106,0.0012619971954181877
205649164,127313418,1295721,1295721,0.05382964707110105
41008148,127313418,974575,974575,0.006256150993798644
138885662,205649164,61747,61747,0.009205492375394812
17744445,86803240,201608,201608,0.008007806348103403
17744445,41008148,738073,738073,0.02931602741341476
192562407,162324750,21968,21968,0.00012388063976297744
17744445,144133560,1504104,1504104,0.05974253779318142
162324750,39432304,284421,284421,0.009673327880074283
144024400,15744967,4883611,4883611,0.18535961433930792
17744445,95457728,756632,756632,0.030053185056040304
71924100,205649164,664063,664063,0.0021416263773801725
71924100,142362112,165336,165336,0.0005332143768445588
127413603,144024400,696841,696841,0.008389892344558095
205649164,95457728,531959,531959,0.022099792491050037
185592680,86803240,40389243,40389243,0.1854233719582491
121332964,162324750,47587,47587,0.0006029693022901265
138885662,138885662,1552467,1552467,0.23144805628697843
127413603,121332964,2607066,2607066,0.031388800422417304
205649164,71924100,1068758,1068758,0.04440065874089855
127413603,162324750,894028,894028,0.010764003083946818
17744445,127313418,22873,22873,0.0009085083657402937
86803240,185592680,30896766,30896766,0.1067354455736824
127413603,127313418,1923287,1923287,0.023156173183966077
185592680,138885662,104953,104953,0.00048182975742165103
127313418,205649164,1083832,1083832,0.029457812863013744
41008148,86803240,3242550,3242550,0.020815106487383522
142362112,205649164,188344,188344,0.029005116674815874
17744445,121332964,37667,37667,0.0014961213925737613
39432304,39432304,16095749,16095749,0.4086876060884739
192562407,121332964,9708904,9708904,0.05474987431342548
71924100,33923547,1793202,1793202,0.005783139104529059
86803240,33923547,1810901,1810901,0.006255907984830097
192562407,33923547,1947368,1947368,0.010981481868806896
142362112,142362112,1526545,1526545,0.23508907018199038
144133560,39432304,484085,484085,0.0157243889483972
138885662,162324750,135923,135923,0.020263950315655643
138885662,71924100,838899,838899,0.1250664542119671
15744967,71924100,14341409,14341409,0.13680631750332586
41008148,142362112,224658,224658,0.0014421613215656218
144133560,127413603,1817430,1817430,0.059035037661744366
86803240,41008148,2695164,2695164,0.009310667997878748
95457728,127413603,76881,76881,0.012225220358797917
121332964,86803240,843055,843055,0.010682251143005497
127413603,15744967,1362333,1362333,0.016402346026480736
15744967,33923547,2026805,2026805,0.019334204076275098
71924100,192562407,2530418,2530418,0.008160686462877138
41008148,144133560,2321618,2321618,0.014903309399400582
95457728,15744967,296502,296502,0.04714821980494921
33923547,138885662,199668,199668,0.0032214775495841377
95457728,142362112,932431,932431,0.1482703716701695
127313418,144024400,13971,13971,0.0003797222295606377
127313418,127413603,2447548,2447548,0.06652268152005436
86803240,86803240,215154615,215154615,0.7432694962074378
138885662,142362112,453228,453228,0.06756906243729152
39432304,138885662,12687,12687,0.0003221359663625761
192562407,15744967,84377,84377,0.00047581376280411274
192562407,138885662,35225,35225,0.0001986387261312309
192562407,127413603,11181553,11181553,0.06305434901600691
205649164,138885662,83918,83918,0.003486303241911382
39432304,71924100,450144,450144,0.011429618699638643
86803240,127413603,399826,399826,0.0013812321413167689
86803240,138885662,151267,151267,0.0005225644213246854
144024400,144024400,8714488,8714488,0.33076224434020784
15744967,86803240,4101102,4101102,0.03912144631852593
127313418,121332964,1320825,1320825,0.03589912059690997
41008148,205649164,1391899,1391899,0.00893510536604914
162324750,15744967,914394,914394,0.031099085417647235
41008148,138885662,258405,258405,0.0016587955750481376
17744445,185592680,67486,67486,0.002680522693584115
17744445,162324750,2816587,2816587,0.11187394973704178
95457728,86803240,156052,156052,0.024814584714443526
127313418,15744967,26379,26379,0.0007169631875728338
121332964,39432304,470144,470144,0.005957139547689269
17744445,142362112,307387,307387,0.012209314957365089
142362112,15744967,615104,615104,0.0947264754234058
127413603,71924100,1808805,1808805,0.021777821945463034
41008148,39432304,1005619,1005619,0.006455433708265448
39432304,127313418,2930743,2930743,0.07441457621702179
86803240,15744967,3108135,3108135,0.010737310634004781
33923547,86803240,1190014,1190014,0.019199888738760433
33923547,39432304,583604,583604,0.009415966423500517
127413603,33923547,3398203,3398203,0.04091400668869133
71924100,138885662,231887,231887,0.0007478436771383981
39432304,17744445,115496,115496,0.002932562116419334
138885662,86803240,314780,314780,0.04692867491419468
121332964,95457728,24013,24013,0.00030426590993113263
142362112,39432304,40202,40202,0.006191138027019431
185592680,95457728,29233,29233,0.00013420606651269734
39432304,95457728,32799,32799,0.0008328003121877617
144133560,144024400,1719885,1719885,0.055866512464782254
15744967,17744445,1778036,1778036,0.01696113384314913
138885662,15744967,897754,897754,0.13384079553630449
192562407,185592680,33309473,33309473,0.18783680013690932
95457728,144024400,766284,766284,0.12185053208752622
33923547,144024400,151102,151102,0.0024379054264942923
39432304,33923547,1051743,1051743,0.026704835474901465
185592680,33923547,1130767,1130767,0.005191249314554211
71924100,39432304,271097,271097,0.0008742972971369172
33923547,205649164,312187,312187,0.005036878276799603
86803240,71924100,24498878,24498878,0.08463340983277295
144024400,138885662,827070,827070,0.03139180746206268
33923547,95457728,61067,61067,0.000985265388146596
192562407,144024400,12124,12124,6.836894011682168e-05
205649164,86803240,4620708,4620708,0.19196345575831
144024400,127313418,15289,15289,0.0005803007536090976
39432304,192562407,1933860,1933860,0.049102692512802984
162324750,144133560,3251126,3251126,0.11057273470466099
144133560,162324750,7163652,7163652,0.2326947753782156
41008148,121332964,3378117,3378117,0.02168536031266767
144024400,205649164,721435,721435,0.02738238434037408
144024400,192562407,8411,8411,0.0003192432231412205
127413603,185592680,2217450,2217450,0.02669786476318177
142362112,71924100,611250,611250,0.09413295654483925
86803240,144024400,129391,129391,0.0004469919614960459
185592680,127413603,1674364,1674364,0.0076868541152282
95457728,192562407,12304,12304,0.001956518662538853
95457728,121332964,29715,29715,0.00472512614250179
127413603,205649164,722903,722903,0.008703676083293149
71924100,15744967,16191703,16191703,0.05221880791356494
138885662,185592680,196665,196665,0.029319613228286728
33923547,41008148,9118784,9118784,0.14712401554333715
127313418,39432304,2310899,2310899,0.06280865511197824
86803240,39432304,3136896,3136896,0.010836667898455846
127413603,95457728,108574,108574,0.0013072195399209442
192562407,192562407,107994848,107994848,0.6089981273372863
86803240,17744445,115635,115635,0.0003994707164145518
33923547,162324750,838707,838707,0.013531841713139129
17744445,192562407,22552,22552,0.0008957583467046345
127413603,144133560,1614483,1614483,0.019438205504726597
138885662,121332964,101840,101840,0.015182718893390896
205649164,17744445,894993,894993,0.03718173690254765
144024400,39432304,43705,43705,0.0016588425951001118
86803240,142362112,155988,155988,0.0005388735081253349
144133560,142362112,42494,42494,0.0013803199520191507
41008148,127413603,20361123,20361123,0.13070544585209598
41008148,33923547,17052348,17052348,0.10946521702978255
144133560,138885662,36316,36316,0.001179641817139537
142362112,144133560,63079,63079,0.009714213113933603
142362112,192562407,159719,159719,0.02459684529469968
142362112,127413603,298679,298679,0.04599678908442706
205649164,39432304,2383883,2383883,0.09903642879045535
185592680,192562407,20173749,20173749,0.09261586221408892
144133560,127313418,28820,28820,0.0009361514806135436
71924100,144024400,1142570,1142570,0.0036848281714284095
138885662,192562407,36058,36058,0.0053756724063029155
